mechanism,replicate,estimator,status,coef,se,ci_low,ci_high,rows,countries,years,reference_coef,bias,abs_error,absolute_coefficient_error,sign_reversal,ci_coverage,row_retention,country_retention,year_retention,target_distance,Delta_row,Delta_country,Delta_year,Delta_weight,Delta_balance,TDI,wrong_conclusion
mcar,1,complete_case_fe,estimated,0.03639618952551926,0.07953478319759102,-0.11949198554175913,0.19228436459279766,72,29,10,0.17752062443807945,-0.1411244349125602,0.1411244349125602,0.1411244349125602,False,True,0.2553191489361702,0.9666666666666667,1.0,0.9338742310519716,0.7446808510638299,0.033333333333333326,0.0,0.542651980054832,0.1558600466548084,0.29530524222136073,False
mcar,1,population_weighted_fe,estimated,-0.07227398966969997,0.11874358217955086,-0.30501141074161964,0.16046343140221972,72,29,10,0.17752062443807945,-0.24979461410777942,0.24979461410777942,0.24979461410777942,True,False,0.2553191489361702,0.9666666666666667,1.0,0.9338742310519716,0.7446808510638299,0.033333333333333326,0.0,0.6418991639915995,0.1558600466548084,0.3151546790087142,True
mcar,1,ipw_fe,estimated,0.022692941488752314,0.08093585241917796,-0.13594132925283647,0.1813272122303411,72,29,10,0.17752062443807945,-0.15482768294932714,0.15482768294932714,0.15482768294932714,False,True,0.2553191489361702,0.9666666666666667,1.0,0.9338742310519716,0.7446808510638299,0.033333333333333326,0.0,0.5492713582939919,0.1558600466548084,0.29662911786919266,False
mcar,1,pmm_mi_fe,estimated,0.016298110478148334,0.03248868389200676,-0.04737970995018491,0.07997593090648157,282,30,10,0.17752062443807945,-0.16122251395993112,0.16122251395993112,0.16122251395993112,False,False,0.2553191489361702,0.9666666666666667,1.0,0.9338742310519716,0.0,0.0,0.0,0.0,0.0,0.0,False
mcar,1,mnar_shift_mi_fe,estimated,0.0175755496828376,0.01910825184600154,-0.01987662393532542,0.055027723301000614,282,30,10,0.17752062443807945,-0.15994507475524186,0.15994507475524186,0.15994507475524186,False,False,0.2553191489361702,0.9666666666666667,1.0,0.9338742310519716,0.0,0.0,0.0,0.0,0.0,0.0,False
mcar,2,complete_case_fe,estimated,0.29324622488543806,0.15520742115923847,-0.010960320586669348,0.5974527703575454,71,28,10,0.17752062443807945,0.1157256004473586,0.1157256004473586,0.1157256004473586,False,True,0.25177304964539005,0.9333333333333333,1.0,0.8799973536466058,0.74822695035461,0.06666666666666665,0.0,0.5467401118733431,0.0651037366253292,0.28534749310398977,False
mcar,2,population_weighted_fe,estimated,0.16586578730359497,0.1257938013687172,-0.08069006337909074,0.4124216379862807,71,28,10,0.17752062443807945,-0.01165483713448448,0.01165483713448448,0.01165483713448448,False,True,0.25177304964539005,0.9333333333333333,1.0,0.8799973536466058,0.74822695035461,0.06666666666666665,0.0,0.6509812454142784,0.0651037366253292,0.30619571981217686,False
mcar,2,ipw_fe,estimated,0.27893453553978664,0.14785849529094555,-0.010868115230466657,0.5687371863100399,71,28,10,0.17752062443807945,0.1014139111017072,0.1014139111017072,0.1014139111017072,False,True,0.25177304964539005,0.9333333333333333,1.0,0.8799973536466058,0.74822695035461,0.06666666666666665,0.0,0.5476449973719931,0.0651037366253292,0.28552847020371985,False
mcar,2,pmm_mi_fe,estimated,0.06278816656855625,0.025183397892804937,0.013428706698658574,0.11214762643845393,282,30,10,0.17752062443807945,-0.1147324578695232,0.1147324578695232,0.1147324578695232,False,False,0.25177304964539005,0.9333333333333333,1.0,0.8799973536466058,0.0,0.0,0.0,0.0,0.0,0.0,False
mcar,2,mnar_shift_mi_fe,estimated,0.018601060808065232,0.03748657615566382,-0.05487262845703586,0.09207475007316632,282,30,10,0.17752062443807945,-0.15891956363001422,0.15891956363001422,0.15891956363001422,False,False,0.25177304964539005,0.9333333333333333,1.0,0.8799973536466058,0.0,0.0,0.0,0.0,0.0,0.0,False
