mechanism,estimator,ci_coverage_rate
country_group,complete_case_fe,1.0
country_group,ipw_fe,0.99
country_group,mnar_shift_mi_fe,0.01
country_group,pmm_mi_fe,0.02
country_group,population_weighted_fe,0.48
covariate_block,complete_case_fe,1.0
covariate_block,ipw_fe,1.0
covariate_block,mnar_shift_mi_fe,1.0
covariate_block,pmm_mi_fe,1.0
covariate_block,population_weighted_fe,0.51
early_year,complete_case_fe,1.0
early_year,ipw_fe,1.0
early_year,mnar_shift_mi_fe,0.0
early_year,pmm_mi_fe,0.0
early_year,population_weighted_fe,1.0
eurostat_realistic,complete_case_fe,0.94
eurostat_realistic,ipw_fe,0.94
eurostat_realistic,mnar_shift_mi_fe,0.46
eurostat_realistic,pmm_mi_fe,0.79
eurostat_realistic,population_weighted_fe,0.6
mar_observed,complete_case_fe,1.0
mar_observed,ipw_fe,0.98
mar_observed,mnar_shift_mi_fe,0.01
mar_observed,pmm_mi_fe,0.02
mar_observed,population_weighted_fe,0.5
mcar,complete_case_fe,0.89
mcar,ipw_fe,0.89
mcar,mnar_shift_mi_fe,0.0
mcar,pmm_mi_fe,0.01
mcar,population_weighted_fe,0.73
mnar_high_poverty_unmet,complete_case_fe,0.95
mnar_high_poverty_unmet,ipw_fe,0.93
mnar_high_poverty_unmet,mnar_shift_mi_fe,0.0
mnar_high_poverty_unmet,pmm_mi_fe,0.01
mnar_high_poverty_unmet,population_weighted_fe,0.55
